INFO 2021-07-14 20:55:21,583 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,584 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,585 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,586 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,591 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,594 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:21,595 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:55:30,166 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2021-07-14 20:56:11,299 "GET /site-config HTTP/1.1" 200 10875
INFO 2021-07-14 20:56:48,577 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2021-07-14 20:56:48,611 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,622 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,628 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,628 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,629 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,647 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,648 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,649 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,649 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,650 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,655 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,657 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-14 20:56:48,659 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2021-07-15 10:50:26,784 Watching for file changes with StatReloader
INFO 2021-07-15 10:51:26,601 "GET / HTTP/1.1" 302 0
INFO 2021-07-15 10:51:26,612 "GET / HTTP/1.1" 302 0
INFO 2021-07-15 10:51:26,619 "GET / HTTP/1.1" 302 0
INFO 2021-07-15 10:51:27,134 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-15 10:51:27,145 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-15 10:51:27,167 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2021-07-15 10:51:29,150 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2021-07-15 10:51:29,150 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2021-07-15 10:51:29,194 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2021-07-15 10:51:29,295 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2021-07-15 10:51:29,581 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2021-07-15 10:51:29,871 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:29,904 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:30,160 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:30,428 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:30,501 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:30,506 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:30,600 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2021-07-15 10:51:30,680 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2021-07-15 10:51:31,288 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
WARNING 2021-07-15 10:51:32,300 Not Found: /favicon.ico
